time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1685710171694000000,15.260000244140626,0,0,1,1399.9990234375,0,0,21.600000381469727,30.3283629,60.0482817
1685710176724000000,20.29,0,0,1,1399.9990234375,0,0,21.600000381469727,30.3283629,60.0482817
1685710181753000000,25.319,0,0,1,1399.9990234375,0,0,21.600000381469727,30.3283629,60.0482817
1685710186790000000,30.356000244140624,0,0,1,1399.9990234375,0,0,21.600000381469727,30.3283629,60.0482817
1685710191830000000,35.39600024414062,0,0,1,2900,0,0,21.600000381469727,30.3230504,60.0384231
1685710196852000000,40.418,0,0,1,2799.9990234375,0,0,21.600000381469727,30.3327832,60.0503641
1685710201872000000,45.438,0,0,1,2900,0,0,21.600000381469727,30.3230504,60.0384231
1685710206893000000,50.459,0,0,1,2799.9990234375,0,0,21.600000381469727,30.3327832,60.0503641
1685710211921000000,55.487,0,0,1,2799.9990234375,0,0,21.600000381469727,30.3327832,60.0503641
1685710216960000000,60.526,0,0,1,2799.9990234375,0,0,21.600000381469727,30.3327832,60.0503641
1685710222003000000,65.569,0,0,1,3200,0,0,21.600000381469727,30.3089519,60.0451903
1685710227049000000,70.615,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710232083000000,75.649,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710237107000000,80.673,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710242128000000,85.694,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710247151000000,90.717,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710252159000000,95.725,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710257209000000,100.775,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710262254000000,105.82000024414063,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710267304000000,110.87,0,0,0,3200,0,0,0,30.3089519,60.0451903
1685710272328000000,115.894,0,0,0,2900,0,0,0,30.3230504,60.0384231
1685710277349000000,120.915,0,0,0,2799.9990234375,0,0,0,30.3327832,60.0503641
1685710282375000000,125.941,0,0,0,2900,0,0,0,30.3230504,60.0384231
1685710287397000000,130.963,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710292437000000,136.003,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710297485000000,141.051,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710302506000000,146.07199975585937,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710307528000000,151.094,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710312551000000,156.117,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710317581000000,161.147,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710322615000000,166.181,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710327669000000,171.235,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710332692000000,176.258,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710337723000000,181.289,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710342749000000,186.315,0,0,0,800,0,0,0,30.3323948,60.0512627
1685710347764000000,191.33,0,0,0,1799.9990234375,0,0,0,30.3352769,60.0581364
1685710352811000000,196.377,0,0,0,1799.9990234375,0,0,0,30.3352769,60.0581364
1685710357854000000,201.42000024414062,0,0,0,1799.9990234375,0,0,0,30.3352769,60.0581364
1685710362904000000,206.47,0,0,0,2299.9990234375,0.0558307059109211,0,0,30.3353561,60.0579532
1685710367926000000,211.49200024414063,0,0,0,2299.9990234375,0.1413128674030304,167.82420349121094,0,30.3354113,60.0578255
1685710372952000000,216.518,0,0,0,2299.9990234375,0.24075086414813995,167.82420349121094,0,30.3354541,60.0577264
1685710377975000000,221.541,0,0,0,1700,0.43944817781448364,205.2103271484375,0,30.3351161,60.0575992
1685710382997000000,226.563,0,0,0,1700,0,0,0,30.3432544,60.0569174
1685710388043000000,231.609,0,0,0,1700,0,0,0,30.3432544,60.0569174
1685710393080000000,236.646,0,0,0,1700,0,0,0,30.3432544,60.0569174
