time,seconds_elapsed,z,y,x
1685475373881330000,0.061329833984375,-42.1875,26.0625,4.1875
1685475373901331500,0.08133154296875,-42.1875,25.625,4.1875
1685475373921331500,0.10133154296875,-42.375,25.5625,3.875
1685475373941330000,0.121329833984375,-42.5,25.875,3.6875
1685475373961331500,0.14133154296875,-42.5625,26.1875,3.6875
1685475373981331500,0.16133154296875,-42.5,26.375,3.8125
1685475374001331500,0.18133154296875,-42.4375,26.4375,4
1685475374021331500,0.20133154296875,-42.5,26.4375,3.9375
1685475374041331500,0.22133154296875,-42.5625,26.6875,4.125
1685475374061331500,0.24133154296875,-42.75,26.8125,4.125
1685475374081331500,0.26133154296875,-42.9375,27.125,4.1875
1685475374101331500,0.28133154296875,-42.875,27.4375,4.25
1685475374121331500,0.30133154296875,-42.75,27.4375,4.375
1685475374141330000,0.321329833984375,-42.6875,27.1875,4.5625
1685475374161330000,0.341329833984375,-42.75,27.1875,4.625
1685475374181330000,0.361329833984375,-42.8125,27.0625,4.5625
1685475374201331500,0.38133154296875,-42.8125,27,4.5
1685475374221330000,0.401329833984375,-42.6875,26.8125,4.3125
1685475374241330000,0.421329833984375,-42.5625,26.625,4.1875
1685475374261330000,0.441329833984375,-42.3125,26.5,4.125
1685475374281330000,0.461329833984375,-42.375,26.3125,4.0625
1685475374301330000,0.481329833984375,-42.375,26.125,4
1685475374321330000,0.501329833984375,-42.625,26.1875,3.8125
1685475374341330000,0.521329833984375,-42.5625,26.0625,3.6875
1685475374361330000,0.541329833984375,-42.625,26,3.6875
1685475374381330000,0.561329833984375,-42.5625,26.125,3.75
1685475374401330000,0.581329833984375,-42.6875,26.3125,3.9375
1685475374421330000,0.601329833984375,-42.8125,26.3125,4
1685475374441330000,0.621329833984375,-42.9375,26.3125,4.125
1685475374461330000,0.641329833984375,-42.75,26.375,4.125
1685475374481330000,0.661329833984375,-43,26.375,4.375
1685475374501330000,0.681329833984375,-42.9375,26.3125,4.3125
1685475374521330000,0.701329833984375,-43.0625,26.375,4.375
1685475374541330000,0.721329833984375,-43,26.5,4.5
1685475374561330000,0.741329833984375,-43,26.5625,4.625
1685475374581330000,0.761329833984375,-42.875,26.375,4.5
1685475374601330000,0.781329833984375,-42.875,26.375,4.5625
1685475374621330000,0.801329833984375,-42.875,26.5625,4.375
1685475374641331500,0.82133154296875,-43.125,26.625,4.5
1685475374661330000,0.841329833984375,-43.0625,26.6875,4.3125
1685475374681330000,0.861329833984375,-43,26.875,4.5
1685475374701330000,0.881329833984375,-43,26.6875,4.4375
1685475374721330000,0.901329833984375,-43.0625,26.75,4.3125
1685475374741330000,0.921329833984375,-43,26.8125,4.25
1685475374761330000,0.941329833984375,-42.9375,26.625,4.3125
1685475374781330000,0.961329833984375,-42.875,26.625,4.3125
1685475374801330000,0.981329833984375,-42.9375,26.375,4.375
1685475374821330000,1.001329833984375,-42.8125,26.25,4.375
1685475374841330000,1.021329833984375,-42.75,26.3125,4.375
1685475374861330000,1.041329833984375,-42.5625,26.3125,4.375
1685475374881330000,1.061329833984375,-42.5,26.4375,4.375
1685475374901331500,1.08133154296875,-42.5,26.4375,4.375
1685475374921330000,1.101329833984375,-42.5,26.375,4.4375
1685475374941330000,1.121329833984375,-42.5625,26.5,4.375
1685475374961330000,1.141329833984375,-42.5,26.625,4.25
1685475374981330000,1.161329833984375,-42.5,26.6875,4.25
1685475375001330000,1.181329833984375,-42.5,26.625,4.1875
1685475375021330000,1.201329833984375,-42.3125,26.4375,4.0625
1685475375041330000,1.221329833984375,-42.3125,26.4375,3.8125
1685475375061330000,1.241329833984375,-42.3125,26.5,3.875
1685475375081330000,1.261329833984375,-42.25,26.375,3.875
1685475375101330000,1.281329833984375,-42.125,26.5,3.9375
1685475375121330000,1.301329833984375,-42.125,26.5625,4.125
1685475375141330000,1.321329833984375,-42.1875,26.6875,4.375
1685475375161330000,1.341329833984375,-42.125,26.8125,4.4375
1685475375181330000,1.361329833984375,-42.25,26.875,4.4375
1685475375201330000,1.381329833984375,-42.4375,27,4.5625
1685475375221331500,1.40133154296875,-42.625,26.875,4.8125
1685475375241330000,1.421329833984375,-42.8125,26.5625,4.6875
1685475375261330000,1.441329833984375,-42.9375,26.75,4.625
1685475375281330000,1.461329833984375,-43.125,26.5625,4.3125
1685475375301330000,1.481329833984375,-43.0625,26.5,4.0625
1685475375321330000,1.501329833984375,-43.25,26.3125,3.8125
1685475375341330000,1.521329833984375,-43.25,26.1875,3.6875
1685475375361330000,1.541329833984375,-43.1875,26.125,3.6875
1685475375381330000,1.561329833984375,-43.3125,26.25,3.75
1685475375401330000,1.581329833984375,-43.375,26.1875,3.6875
1685475375421330000,1.601329833984375,-43.1875,26.3125,3.625
1685475375441330000,1.621329833984375,-42.9375,26.1875,3.5625
1685475375461330000,1.641329833984375,-42.8125,26.125,3.6875
1685475375481331500,1.66133154296875,-42.9375,26.25,4
1685475375501330000,1.681329833984375,-42.875,26.3125,4.0625
1685475375521330000,1.701329833984375,-42.875,26.4375,3.875
1685475375541330000,1.721329833984375,-42.9375,26.5625,3.875
1685475375561330000,1.741329833984375,-42.75,26.5625,3.75
1685475375581330000,1.761329833984375,-42.625,26.8125,3.8125
1685475375601330000,1.781329833984375,-42.625,26.8125,3.75
1685475375621330000,1.801329833984375,-42.8125,26.875,3.875
1685475375641330000,1.821329833984375,-42.875,26.9375,3.9375
1685475375661330000,1.841329833984375,-42.9375,26.9375,3.8125
1685475375681330000,1.861329833984375,-42.9375,26.9375,3.6875
1685475375701330000,1.881329833984375,-42.75,26.8125,4.0625
1685475375721330000,1.901329833984375,-42.6875,26.75,4.25
1685475375741330000,1.921329833984375,-42.75,26.5625,4.25
1685475375761330000,1.941329833984375,-42.625,26.375,4.125
1685475375781330000,1.961329833984375,-42.75,26.3125,4.25
1685475375801330000,1.981329833984375,-42.6875,26.3125,4.1875
1685475375821330000,2.001329833984375,-42.625,26.4375,4.25
1685475375841330000,2.021329833984375,-42.5,26.3125,4.1875
1685475375861330000,2.041329833984375,-42.5,26.0625,4.4375
1685475375881330000,2.061329833984375,-42.625,25.9375,4.125
1685475375901330000,2.081329833984375,-42.6875,25.9375,4.25
1685475375941330000,2.121329833984375,-42.5625,26.3125,4.5
1685475375961330000,2.141329833984375,-42.9375,26.25,4.4375
1685475375981330000,2.161329833984375,-43,26.5,4.5
1685475376001330000,2.181329833984375,-43.1875,26.625,4.375
1685475376021330000,2.201329833984375,-43.3125,26.5,4.125
1685475376041330000,2.221329833984375,-43,26.75,4.25
1685475376061330000,2.241329833984375,-42.75,26.5,3.9375
1685475376081330000,2.261329833984375,-42.625,26.75,3.8125
1685475376101330000,2.281329833984375,-42.25,26.6875,3.875
1685475376121330000,2.301329833984375,-42.3125,26.8125,3.875
1685475376141330000,2.321329833984375,-42.5,26.5,3.9375
1685475376161330000,2.341329833984375,-42.125,26.6875,4.0625
1685475376181330000,2.361329833984375,-42.3125,26.5,4.25
1685475376201330000,2.381329833984375,-42.3125,26.3125,4.3125
1685475376221330000,2.401329833984375,-42.4375,26.625,4.3125
1685475376241330000,2.421329833984375,-42.5,26.5625,3.875
1685475376261330000,2.441329833984375,-42.625,26.5,3.75
1685475376281330000,2.461329833984375,-42.75,26.4375,3.75
1685475376301330000,2.481329833984375,-42.6875,26.4375,3.625
1685475376321330000,2.501329833984375,-42.4375,26.4375,3.875
1685475376341330000,2.521329833984375,-42.5625,26.1875,3.875
1685475376361330000,2.541329833984375,-42.4375,26.5,4.125
1685475376381330000,2.561329833984375,-42.75,26.6875,4
1685475376401330000,2.581329833984375,-42.875,26.4375,3.9375
1685475376421330000,2.601329833984375,-42.75,26.375,4
1685475376441330000,2.621329833984375,-42.75,26.5,4.0625
1685475376461330000,2.641329833984375,-42.875,26.5625,4.0625
1685475376481330000,2.661329833984375,-42.6875,26.375,4.375
1685475376501330000,2.681329833984375,-42.75,26.4375,4.375
1685475376521330000,2.701329833984375,-42.5625,26.5625,4.6875
1685475376541330000,2.721329833984375,-42.6875,26.4375,4.75
1685475376561330000,2.741329833984375,-42.9375,26.375,4.625
1685475376581330000,2.761329833984375,-43.125,26.625,4.5
1685475376601330000,2.781329833984375,-43.3125,26.6875,4.5
1685475376621330000,2.801329833984375,-43.125,26.6875,4.375
1685475376641330000,2.821329833984375,-43.125,26.875,4.5
1685475376661330000,2.841329833984375,-43.0625,26.6875,4.625
1685475376681330000,2.861329833984375,-43,26.625,4.5625
1685475376701330000,2.881329833984375,-42.9375,26.625,4.375
1685475376721330000,2.901329833984375,-43,26.5625,4.625
1685475376741330000,2.921329833984375,-43.0625,26.4375,4.8125
1685475376761330000,2.941329833984375,-42.875,26.375,4.5625
1685475376781330000,2.961329833984375,-43.0625,26.75,4.5
1685475376801330000,2.981329833984375,-43.1875,26.75,4.375
1685475376821330000,3.001329833984375,-43.0625,26.8125,4.3125
1685475376841330000,3.021329833984375,-43.0625,26.75,4.25
1685475376861330000,3.041329833984375,-43,26.6875,4.375
1685475376881330000,3.061329833984375,-43.1875,26.3125,4.3125
1685475376901330000,3.081329833984375,-43.125,26.3125,3.875
1685475376921330000,3.101329833984375,-43.0625,26.375,3.9375
1685475376941330000,3.121329833984375,-42.9375,26.3125,4.0625
1685475376961330000,3.141329833984375,-42.75,26.3125,3.9375
1685475376981330000,3.161329833984375,-42.625,26.5625,4.125
1685475377001330000,3.181329833984375,-42.8125,26.25,4.1875
1685475377021330000,3.201329833984375,-42.875,26.3125,4
1685475377041330000,3.221329833984375,-43.0625,26.4375,4.125
1685475377061330000,3.241329833984375,-43.1875,26.5,4.25
1685475377081330000,3.261329833984375,-43.25,26.3125,4.6875
1685475377101331500,3.28133154296875,-43.125,26.3125,4.4375
1685475377121330000,3.301329833984375,-43.0625,26.3125,4.4375
1685475377141330000,3.321329833984375,-43,26.3125,4.4375
1685475377161330000,3.341329833984375,-42.625,26.1875,4.3125
1685475377181330000,3.361329833984375,-42.9375,26.5,4.125
1685475377201330000,3.381329833984375,-42.6875,26.5625,3.875
1685475377221330000,3.401329833984375,-42.5625,26.3125,4
1685475377241331500,3.42133154296875,-42.5625,26.4375,4.125
1685475377261330000,3.441329833984375,-42.25,26.4375,4
1685475377281330000,3.461329833984375,-42.375,26.25,4.1875
1685475377301330000,3.481329833984375,-42.4375,26.5,4.25
1685475377321330000,3.501329833984375,-42.5625,26.5625,4.0625
1685475377341330000,3.521329833984375,-42.8125,26.625,4.0625
1685475377361330000,3.541329833984375,-42.9375,26.6875,4.1875
1685475377381330000,3.561329833984375,-43.125,26.6875,4.375
1685475377401330000,3.581329833984375,-43.3125,26.75,4.25
1685475377421330000,3.601329833984375,-43.125,26.75,4.375
1685475377441330000,3.621329833984375,-42.75,26.625,4.4375
1685475377461330000,3.641329833984375,-42.625,26.625,4
1685475377481330000,3.661329833984375,-42.5,26.875,3.8125
1685475377501330000,3.681329833984375,-42.375,26.4375,3.5625
1685475377521330000,3.701329833984375,-42.5,26.625,3.4375
1685475377541330000,3.721329833984375,-42.9375,26.625,3.5625
1685475377561330000,3.741329833984375,-43,26.5625,3.875
1685475377581330000,3.761329833984375,-42.875,26.5625,4.125
1685475377601330000,3.781329833984375,-42.9375,26.625,4.25
1685475377621330000,3.801329833984375,-43,26.5,4.4375
1685475377641330000,3.821329833984375,-42.8125,26.625,4.125
1685475377661330000,3.841329833984375,-43.25,26.625,4.25
1685475377681330000,3.861329833984375,-43.4375,26.5625,3.9375
1685475377701330000,3.881329833984375,-43.5,26.5625,4
1685475377721330000,3.901329833984375,-43.3125,26.5,4.3125
1685475377741330000,3.921329833984375,-43.25,26.25,4.25
1685475377761330000,3.941329833984375,-43.0625,26.1875,4.25
1685475377781330000,3.961329833984375,-43.125,26.3125,4.1875
1685475377801330000,3.981329833984375,-43.4375,26.125,4
1685475377821330000,4.001329833984375,-43.5625,26.0625,4.0625
1685475377841330000,4.021329833984375,-43.375,26.3125,4.125
1685475377861330000,4.041329833984375,-43.25,26.5,4.25
1685475377881330000,4.061329833984375,-43.25,26.5,4.3125
1685475377901330000,4.081329833984375,-43,26.6875,4.25
1685475377921330000,4.101329833984375,-43.0625,26.875,4.25
1685475377941330000,4.121329833984375,-42.875,26.9375,4.4375
1685475377961330000,4.141329833984375,-42.75,27,4.1875
1685475377981330000,4.161329833984375,-42.5625,26.9375,4.1875
1685475378001330000,4.181329833984375,-42.25,27.0625,4.125
1685475378021330000,4.201329833984375,-42.3125,26.8125,4
1685475378041330000,4.221329833984375,-42.5625,26.875,4.4375
1685475378061330000,4.241329833984375,-42.5625,26.9375,4.5625
1685475378081330000,4.261329833984375,-42.5625,26.6875,4.375
1685475378101330000,4.281329833984375,-42.5,26.8125,4.5
1685475378121330000,4.301329833984375,-42.4375,26.8125,4.5625
1685475378141330000,4.321329833984375,-42.375,26.6875,4.5
1685475378161330000,4.341329833984375,-42.5,26.75,4.5
1685475378181330000,4.361329833984375,-42.6875,26.6875,4.375
1685475378201330000,4.381329833984375,-43.0625,26.4375,4.5
1685475378221330000,4.401329833984375,-43.125,26.3125,4.25
1685475378241330000,4.421329833984375,-43.25,26.375,4.125
1685475378261330000,4.441329833984375,-43.125,26.25,4.25
1685475378281330000,4.461329833984375,-43,26.25,4
1685475378301330000,4.481329833984375,-43.125,26.3125,3.875
1685475378321330000,4.501329833984375,-42.8125,26.4375,3.875
1685475378341330000,4.521329833984375,-43,26.75,4
1685475378361330000,4.541329833984375,-43.1875,26.5625,3.9375
1685475378381330000,4.561329833984375,-42.9375,26.5625,4.125
1685475378401330000,4.581329833984375,-42.9375,26.5625,4.5
1685475378421330000,4.601329833984375,-42.8125,26.3125,4.5
1685475378441330000,4.621329833984375,-42.75,26.1875,4.8125
1685475378461330000,4.641329833984375,-42.625,26.25,5.0625
1685475378481330000,4.661329833984375,-42.8125,26.0625,4.8125
1685475378501330000,4.681329833984375,-42.6875,26.375,4.875
1685475378521330000,4.701329833984375,-42.8125,26.4375,4.625
1685475378541330000,4.721329833984375,-43.0625,26.8125,4.4375
1685475378561330000,4.741329833984375,-43.3125,27.0625,3.9375
1685475378581330000,4.761329833984375,-43.3125,26.9375,4.1875
1685475378601330000,4.781329833984375,-43.375,26.6875,4
1685475378621330000,4.801329833984375,-43.4375,26.5,4.0625
1685475378641330000,4.821329833984375,-43.125,26.25,4.375
1685475378661330000,4.841329833984375,-43.3125,26.25,4.5
1685475378681330000,4.861329833984375,-43.375,26.4375,4.5
1685475378701330000,4.881329833984375,-43.125,26.8125,4.5
1685475378721330000,4.901329833984375,-43.125,26.6875,4.375
1685475378741330000,4.921329833984375,-43.0625,26.75,4
1685475378761330000,4.941329833984375,-42.8125,26.6875,3.9375
1685475378781330000,4.961329833984375,-42.6875,26.5625,3.75
1685475378801330000,4.981329833984375,-42.6875,26.3125,4
1685475378821330000,5.001329833984375,-42.6875,26.4375,4.25
1685475378841330000,5.021329833984375,-42.5625,26.1875,4.375
1685475378861330000,5.041329833984375,-42.6875,26.25,4.5625
1685475378881330000,5.061329833984375,-42.75,26.625,4.625
1685475378901330000,5.081329833984375,-42.75,26.875,4.4375
1685475378921331500,5.10133154296875,-42.75,26.625,4.375
1685475378941331500,5.12133154296875,-42.75,26.625,4.1875
1685475378961330000,5.141329833984375,-42.625,26.8125,4.1875
1685475378981330000,5.161329833984375,-42.75,26.5,4.1875
1685475379001330000,5.181329833984375,-42.75,26.875,4.3125
1685475379021330000,5.201329833984375,-43,27.0625,4.1875
1685475379041330000,5.221329833984375,-42.875,27.125,4.3125
1685475379061330000,5.241329833984375,-42.9375,27.1875,4.0625
1685475379081330000,5.261329833984375,-42.875,27.25,4.0625
1685475379101330000,5.281329833984375,-42.875,26.9375,4.375
1685475379121330000,5.301329833984375,-42.625,26.8125,4
1685475379141330000,5.321329833984375,-43.125,26.625,3.9375
1685475379161330000,5.341329833984375,-43.0625,26.6875,4.0625
1685475379181330000,5.361329833984375,-43.3125,26.5625,4
1685475379201330000,5.381329833984375,-43.625,26.4375,4.125
1685475379221330000,5.401329833984375,-43.5625,26.25,4.0625
1685475379241330000,5.421329833984375,-43.3125,26.375,4.125
1685475379261330000,5.441329833984375,-43.3125,26.6875,4.3125
1685475379281330000,5.461329833984375,-42.8125,26.5625,4.1875
1685475379301330000,5.481329833984375,-42.75,26.9375,4.5625
1685475379321330000,5.501329833984375,-42.6875,26.8125,4.5
1685475379341330000,5.521329833984375,-42.9375,26.6875,4.5
1685475379361330000,5.541329833984375,-43.0625,26.8125,4.5625
1685475379381330000,5.561329833984375,-43,26.6875,4.375
1685475379401330000,5.581329833984375,-42.6875,26.8125,4.4375
1685475379421330000,5.601329833984375,-42.8125,27.125,4.4375
1685475379441330000,5.621329833984375,-42.625,26.875,4.375
1685475379461330000,5.641329833984375,-42.8125,27.0625,4.25
1685475379481330000,5.661329833984375,-43.0625,27,4.25
1685475379501330000,5.681329833984375,-43.25,27.125,4.0625
1685475379521330000,5.701329833984375,-43.375,26.8125,4.1875
1685475379541330000,5.721329833984375,-43.4375,26.875,4.125
1685475379561330000,5.741329833984375,-43.25,26.625,4.125
1685475379581330000,5.761329833984375,-43.0625,26.5625,4.3125
1685475379601330000,5.781329833984375,-43.125,26.625,4.125
1685475379621330000,5.801329833984375,-43,26.75,4.125
1685475379641330000,5.821329833984375,-43,26.6875,4.125
1685475379661330000,5.841329833984375,-42.875,26.5625,4
1685475379681331500,5.86133154296875,-42.8125,26.5,4.0625
1685475379701330000,5.881329833984375,-42.75,26.4375,4.0625
1685475379721330000,5.901329833984375,-42.875,26.625,4.25
1685475379741330000,5.921329833984375,-42.875,26.5625,4.4375
1685475379761330000,5.941329833984375,-43.0625,26.75,4.375
1685475379781330000,5.961329833984375,-43,26.6875,4.375
1685475379801330000,5.981329833984375,-43.125,26.5625,4.25
1685475379821330000,6.001329833984375,-42.9375,26.625,4.4375
1685475379841330000,6.021329833984375,-43.1875,26.5,4.375
1685475379861330000,6.041329833984375,-43.0625,26.4375,4.5
1685475379881330000,6.061329833984375,-42.9375,26.5625,4.375
1685475379901330000,6.081329833984375,-43,26.8125,4.3125
1685475379921330000,6.101329833984375,-43.1875,27,4.125
1685475379941331500,6.12133154296875,-43,27,3.9375
1685475379961330000,6.141329833984375,-43.0625,27.3125,4.125
1685475379981331500,6.16133154296875,-43.1875,27.125,4.125
1685475380001331500,6.18133154296875,-42.6875,26.8125,4.3125
1685475380021330000,6.201329833984375,-43.0625,27.0625,4.5625
1685475380041330000,6.221329833984375,-42.875,26.9375,4.1875
1685475380061330000,6.241329833984375,-42.6875,26.75,4.5625
1685475380081330000,6.261329833984375,-42.5625,27.0625,4.125
1685475380101330000,6.281329833984375,-42.8125,26.8125,4.25
1685475380121330000,6.301329833984375,-42.6875,26.6875,3.875
1685475380141330000,6.321329833984375,-42.75,26.5625,3.9375
1685475380161330000,6.341329833984375,-42.875,26.625,4
1685475380181330000,6.361329833984375,-43,26.8125,4.1875
1685475380201330000,6.381329833984375,-43.125,26.8125,4.375
1685475380221330000,6.401329833984375,-43,26.75,4.375
1685475380241330000,6.421329833984375,-43.4375,26.8125,4.25
1685475380261330000,6.441329833984375,-43.3125,26.4375,4.0625
1685475380281330000,6.461329833984375,-43.5,26.25,3.75
1685475380301330000,6.481329833984375,-43.4375,26.1875,4.0625
1685475380321330000,6.501329833984375,-43.125,26.1875,4.125
1685475380341330000,6.521329833984375,-43.125,26.3125,4.0625
1685475380361330000,6.541329833984375,-43.125,26.625,4.3125
1685475380381330000,6.561329833984375,-43.0625,26.75,4.1875
1685475380401330000,6.581329833984375,-43.0625,27,4.0625
1685475380421330000,6.601329833984375,-42.875,27.125,4.3125
1685475380441330000,6.621329833984375,-42.5625,27.125,4.5
1685475380461330000,6.641329833984375,-42.5625,27,4.75
