time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1685548187943000000,0.586,0,0,7.641275405883789,52.400001525878906,0,0,-24.100000381469727,30.3191825,59.9558747
1685548194066000000,6.708999755859375,0,0,7.641275405883789,52.400001525878906,0.09486482292413712,0,-24.600000381469727,30.3191749,59.9558654
1685548202656000000,15.299,0,0,7.641275405883789,1100,0.12115518748760223,225.0332489013672,-24.600000381469727,30.3191571,59.9558589
1685548207677000000,20.32,0,0,7.641275405883789,660.8109741210938,0.11891151964664459,224.57803344726562,-24.600000381469727,30.31915,59.9558552
1685548212701000000,25.344,0,0,7.641275405883789,885.3839721679688,0.10576342791318893,222.50778198242188,-24.600000381469727,30.3191468,59.9558525
1685548217748000000,30.391,0,0,7.641275405883789,1399.9990234375,0,0,-24.600000381469727,30.3197545,59.9476729
1685548222760000000,35.403,0,0,7.641275405883789,1399.9990234375,0,0,-24.600000381469727,30.3197545,59.9476729
1685548227782000000,40.42500024414063,0,0,7.641275405883789,1799.9990234375,0.016634557396173477,0,-24.600000381469727,30.3198076,59.9471855
1685548232801000000,45.444,0,0,7.641275405883789,1799.9990234375,0.03717024624347687,0,-24.600000381469727,30.3198365,59.9469193
1685548237830000000,50.47300024414063,0,0,7.641275405883789,1799.9990234375,0.06046327203512192,0,-24.600000381469727,30.3198549,59.9467503
1685548242854000000,55.49700024414062,0,0,7.641275405883789,1799.9990234375,0.08594823628664017,0,-24.600000381469727,30.3198678,59.9466321
1685548247900000000,60.543,0,0,7.641275405883789,1799.9990234375,0.11326074600219727,176.87989807128906,-24.600000381469727,30.3198774,59.9465434
1685548252921000000,65.564,0,0,7.641275405883789,1799.9990234375,0.1419549286365509,176.87989807128906,-24.600000381469727,30.3198851,59.9464732
1685548257973000000,70.616,0,0,7.641275405883789,1799.9990234375,0.17163991928100586,176.87989807128906,-24.600000381469727,30.3198914,59.9464151
1685548262990000000,75.63300024414062,0,0,7.641275405883789,1799.9990234375,0.20175349712371826,176.87989807128906,-24.600000381469727,30.3198968,59.9463652
1685548268016000000,80.659,0,0,7.641275405883789,2900,0,0,-24.600000381469727,30.3127361,59.9270667
1685548273041000000,85.684,0,0,7.641275405883789,2900,0,0,-24.600000381469727,30.3127361,59.9270667
1685548278061000000,90.704,0,0,7.641275405883789,1500,0,0,-24.600000381469727,30.3226587,59.9409399
1685548283102000000,95.74500024414063,0,0,7.641275405883789,1500,0,0,-24.600000381469727,30.3154926,59.9575485
1685548288121000000,100.764,0,0,7.641275405883789,1500,0,0,-24.600000381469727,30.3154926,59.9575485
1685548293144000000,105.787,0,0,7.641275405883789,1500,0,0,-24.600000381469727,30.3154926,59.9575485
