time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686353863866271700,1.057271728515625,5,0.15000000596046448,31.64040756225586,31.639999389648438,134.14244079589844,107,1510.341372217983,30.4891451,59.7594791
1686353864860665600,2.05166552734375,5,0.15000000596046448,28.73334503173828,30.18600082397461,134.21054077148438,107.10575866699219,1520.239406939596,30.4914127,59.7591072
1686353865870536000,3.061535888671875,5,0.15000000596046448,25.6937255859375,28.68899917602539,134.2704620361328,107.26568603515625,1530.9312498541549,30.4937095,59.758738
1686353866861840100,4.052840087890625,5,0.15000000596046448,22.568714141845703,27.159000396728516,134.51658630371094,107.59518432617188,1540.8628877755255,30.4959812,59.7583631
1686353867862748000,5.053747802734375,5,0.15000000596046448,19.723182678222656,25.67099952697754,134.78721618652344,107.56755065917969,1547.0447057820857,30.4983029,59.7579964
1686353868863451600,6.05445166015625,5,0.15000000596046448,17.30718421936035,24.277000427246094,135.37506103515625,107.66612243652344,1556.9100673086941,30.5006425,59.7576185
1686353869863075600,7.05407568359375,5,0.15000000596046448,15.160392761230469,20.09000015258789,136.10574340820312,107.74668884277344,1566.4149511670694,30.5029974,59.757236
1686353870869772800,8.060772705078126,5,0.15000000596046448,13.757875442504883,19.03499984741211,136.78892517089844,107.89861297607422,1576.0943570695817,30.5053717,59.7568407
1686353871862003200,9.053003173828126,5,0.15000000596046448,12.385641098022461,15.666000366210938,137.603759765625,108.03581237792969,1584.3948556724936,30.507733,59.7564442
1686353872860621800,10.051621826171875,5,0.15000000596046448,11.442766189575195,14.961999893188477,138.3711700439453,108.13301849365234,1591.9824265604839,30.5101204,59.7560433
1686353873862428700,11.0534287109375,5,0.15000000596046448,10.85548210144043,13.484000205993652,139.06747436523438,108.18109130859375,1598.4268748871982,30.5125245,59.7556419
1686353874866213600,12.057213623046875,5,0.15000000596046448,10.35675048828125,11.758999824523926,139.7120819091797,108.22665405273438,1605.4682150054723,30.5149408,59.7552375
