time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1685683416364000000,-3.939,0,0,3.078212022781372,52.34600067138672,0,0,45.80000305175781,30.3342053,60.0667712
1685683420681000000,0.378,0,0,7.641275405883789,117.4739990234375,0.26385757327079773,335.0096740722656,48.20000076293945,30.3341452,60.0668355
1685683425746000000,5.442999755859375,0,0,2.692476511001587,27.854999542236328,1.1917369365692139,109.9122314453125,44.60000228881836,30.3345369,60.0667415
1685683431015000000,10.712,0,0,3.744225025177002,27.81800079345703,0.7369315028190613,107.39688873291016,44.60000228881836,30.3345936,60.0667338
1685683440668000000,20.365,0,0,3.744225025177002,459.1990051269531,0.7328879833221436,107.3204574584961,44.60000228881836,30.3347152,60.0667149
1685683445704000000,25.401,0,0,3.744225025177002,684.3079833984375,0.7269729375839233,107.2461166381836,44.60000228881836,30.3347774,60.0667053
1685683450744000000,30.441,0,0,3.744225025177002,800,0,0,44.60000228881836,30.3346184,60.0695087
1685683455768000000,35.465,0,0,3.744225025177002,400,0.0065667410381138325,0,44.60000228881836,30.3340796,60.0696451
1685683460810000000,40.506999755859376,0,0,3.744225025177002,400,0.010855278000235558,0,44.60000228881836,30.3340512,60.0696523
1685683465834000000,45.530999755859376,0,0,3.744225025177002,400,0.015188004821538925,0,44.60000228881836,30.3340404,60.069655
1685683470859000000,50.556,0,0,3.744225025177002,400,0.019340183585882187,0,44.60000228881836,30.3340341,60.0696566
1685683475885000000,55.582,0,0,3.744225025177002,400,0.022936809808015823,0,44.60000228881836,30.3340297,60.0696577
1685683480901000000,60.598,0,0,3.744225025177002,600,0.13683153688907623,296.88409423828125,44.60000228881836,30.3339553,60.0696765
1685683485945000000,65.642,0,0,3.744225025177002,600,0.26011642813682556,296.88287353515625,44.60000228881836,30.3338733,60.0696973
1685683490972000000,70.669,0,0,3.744225025177002,600,0.37797364592552185,296.8824157714844,44.60000228881836,30.3337863,60.0697193
1685683496025000000,75.722,0,0,3.744225025177002,400,0.22980447113513947,296.883056640625,44.60000228881836,30.3338394,60.0697058
1685683501048000000,80.745,0,0,3.744225025177002,400,0.12595899403095245,296.8843078613281,44.60000228881836,30.33388,60.0696956
1685683506071000000,85.768,0,0,3.744225025177002,600,0.2419835925102234,296.8828430175781,44.60000228881836,30.3338032,60.069715
1685683511094000000,90.79100024414062,0,0,3.744225025177002,600,0.3429482579231262,296.8823547363281,44.60000228881836,30.3337242,60.069735
1685683516122000000,95.81899975585938,0,0,3.744225025177002,800,0.1785220503807068,296.8740234375,44.60000228881836,30.3337965,60.0697167
1685683521173000000,100.87,0,0,3.744225025177002,800,0.015245082788169384,0,44.60000228881836,30.3338854,60.0696942
1685683526227000000,105.924,0,0,3.744225025177002,800,0.13713917136192322,116.91291809082031,44.60000228881836,30.333985,60.069669
1685683531245000000,110.942,0,0,3.744225025177002,800,0.2711953818798065,116.90176391601562,44.60000228881836,30.3340885,60.0696428
1685683536272000000,115.969,0,0,3.744225025177002,400,0.39147916436195374,13.388418197631836,44.60000228881836,30.3339887,60.0698395
1685683541306000000,121.00299975585938,0,0,3.744225025177002,400,0.15610328316688538,43.09757614135742,44.60000228881836,30.3340056,60.069785
1685683546326000000,126.02300024414062,0,0,3.744225025177002,400,0.18329526484012604,142.3391876220703,44.60000228881836,30.3340172,60.069743
1685683551354000000,131.05099975585938,0,0,3.744225025177002,400,0.3599521219730377,163.33770751953125,44.60000228881836,30.3340247,60.0697063
1685683556388000000,136.085,0,0,3.744225025177002,600,0.45144158601760864,252.7681427001953,44.60000228881836,30.3338811,60.0697209
1685683561435000000,141.132,0,0,3.744225025177002,600,0.8766002655029297,274.6026916503906,44.60000228881836,30.3337075,60.0697457
1685683566465000000,146.162,0,0,3.744225025177002,800,0.3189719021320343,203.9178924560547,44.60000228881836,30.333871,60.06969
1685683571495000000,151.192,0,0,3.744225025177002,800,0.7647713422775269,138.5821990966797,44.60000228881836,30.3340844,60.0696269
1685683576505000000,156.202,0,0,3.744225025177002,400,1.2008483409881592,358.8934326171875,44.60000228881836,30.3339291,60.0699374
1685683581527000000,161.224,0,0,3.744225025177002,400,1.562966227531433,353.61962890625,44.60000228881836,30.3338741,60.0700535
1685683586555000000,166.252,0,0,3.744225025177002,800,0.8736056089401245,18.152877807617188,44.60000228881836,30.334001,60.0700084
1685683591610000000,171.30699975585938,0,0,3.744225025177002,699.9990234375,0,0,44.60000228881836,30.3323948,60.0512627
1685683596635000000,176.332,0,0,3.744225025177002,699.9990234375,0,0,44.60000228881836,30.3323948,60.0512627
1685683601681000000,181.378,0,0,3.744225025177002,800,0,0,44.60000228881836,30.3346184,60.0695087
1685683606707000000,186.404,0,0,3.744225025177002,699.9990234375,0,0,44.60000228881836,30.3323948,60.0512627
1685683611725000000,191.422,0,0,3.744225025177002,699.9990234375,0,0,44.60000228881836,30.3323948,60.0512627
1685683616751000000,196.448,0,0,3.744225025177002,699.9990234375,0.1567155420780182,7.947205066680908,44.60000228881836,30.3324818,60.0515737
1685683621777000000,201.474,0,0,3.744225025177002,699.9990234375,0.39731940627098083,7.947205066680908,44.60000228881836,30.3325217,60.0517165
1685683626838000000,206.53500024414063,0,0,3.744225025177002,699.9990234375,0.6775507926940918,7.947205066680908,44.60000228881836,30.332549,60.0518141
1685683631858000000,211.55499975585937,0,0,3.744225025177002,699.9990234375,0.9199450016021729,7.947205066680908,44.60000228881836,30.3325714,60.0518941
1685683636887000000,216.584,0,0,3.744225025177002,699.9990234375,1.0545529127120972,7.947205066680908,44.60000228881836,30.3325897,60.0519598
1685683641906000000,221.60299975585937,0,0,3.744225025177002,699.9990234375,1.0608110427856445,7.947205066680908,44.60000228881836,30.3326032,60.0520081
1685683646927000000,226.624,0,0,3.744225025177002,699.9990234375,0.5646539330482483,187.94720458984375,44.60000228881836,30.3325344,60.0517621
1685683651946000000,231.64299975585936,0,0,3.744225025177002,699.9990234375,1.534869909286499,187.94720458984375,44.60000228881836,30.3324772,60.0515573
1685683656988000000,236.685,0,0,3.744225025177002,699.9990234375,1.9904576539993286,187.94720458984375,44.60000228881836,30.3324338,60.0514021
1685683662027000000,241.724,0,0,3.744225025177002,699.9990234375,2.090052604675293,187.94720458984375,44.60000228881836,30.3324035,60.0512936
1685683667068000000,246.765,0,0,3.744225025177002,699.9990234375,1.966102123260498,187.94720458984375,44.60000228881836,30.3323839,60.0512237
