time,seconds_elapsed,z,y,x
1685548187494386200,0.13738623046875,104.4375,21.6875,-0.75
1685548187514386200,0.15738623046875,104.8125,21.8125,-0.875
1685548187534386200,0.17738623046875,104.6875,22.25,-0.5
1685548187554386200,0.19738623046875,104.6875,22.25,-0.25
1685548187574386200,0.21738623046875,104.6875,22.5,-0.0625
1685548187594386200,0.23738623046875,104.75,22.625,0.1875
1685548187614384600,0.257384521484375,104.625,22.8125,0.75
1685548187634384600,0.277384521484375,104.5,23,1.1875
1685548187654386200,0.29738623046875,104.5625,23.5,1.5625
1685548187674384600,0.317384521484375,104.5625,23.875,2.125
1685548187694386200,0.33738623046875,104.3125,24.0625,2.5625
1685548187714384600,0.357384521484375,104.4375,24.125,2.5625
1685548187734384600,0.377384521484375,104.3125,24.25,2.5
1685548187754386200,0.39738623046875,104.25,24.25,2.6875
1685548187774386200,0.41738623046875,104.3125,24.1875,2.75
1685548187794384600,0.437384521484375,104.3125,24,2.9375
1685548187814386200,0.45738623046875,104.3125,23.75,3.4375
1685548187834386200,0.47738623046875,104.1875,23.5,3.8125
1685548187854384600,0.497384521484375,104.25,23.5,3.9375
1685548187874384600,0.517384521484375,104.3125,23.4375,4
1685548187894384600,0.537384521484375,104.0625,23.3125,3.875
1685548187914384600,0.557384521484375,104,23.375,3.8125
1685548187934401800,0.57740185546875,103.9375,23.5,3.5
1685548187954384600,0.597384521484375,103.75,23.4375,3.375
1685548187974386200,0.61738623046875,104.0625,23.375,3.4375
1685548187994384600,0.637384521484375,104,23.375,3.25
1685548188014384600,0.657384521484375,103.8125,23.375,3.1875
1685548188034384600,0.677384521484375,103.75,23.0625,3.1875
1685548188054384600,0.697384521484375,103.875,22.8125,2.9375
1685548188074384600,0.717384521484375,104.125,22.75,2.6875
1685548188094386200,0.73738623046875,104.1875,22.5625,2.4375
1685548188114384600,0.757384521484375,104.25,22.3125,2.25
1685548188134384600,0.777384521484375,104.1875,22.3125,2
1685548188154384600,0.797384521484375,104,22.125,1.5625
1685548188174384600,0.817384521484375,104.0625,22,1.375
1685548188194384600,0.837384521484375,104.1875,22,1.125
1685548188214384600,0.857384521484375,104.125,21.8125,1
1685548188234386200,0.87738623046875,104,21.875,1.0625
1685548188254384600,0.897384521484375,103.8125,21.5625,0.875
1685548188274384600,0.917384521484375,103.75,21.25,0.6875
1685548188294384600,0.937384521484375,103.625,21.125,0.75
1685548188314384600,0.957384521484375,103.6875,20.8125,0.625
1685548188334384600,0.977384521484375,103.75,20.6875,0.5
1685548188354384600,0.997384521484375,103.5,20.8125,0.4375
1685548188374384600,1.017384521484375,103.375,20.625,0.5
1685548188394384600,1.037384521484375,103.5,20.625,0.375
1685548188414384600,1.057384521484375,103.375,20.4375,0.25
1685548188434384600,1.077384521484375,103.3125,20.1875,0.4375
1685548188454384600,1.097384521484375,103.4375,20.3125,0.5
1685548188474384600,1.117384521484375,103.375,20.1875,0.3125
1685548188494384600,1.137384521484375,103.375,20.125,0.25
1685548188514384600,1.157384521484375,103.1875,20.1875,0.5
1685548188534384600,1.177384521484375,103.1875,19.8125,0.5
1685548188554384600,1.197384521484375,103.25,19.6875,0.5
1685548188574386200,1.21738623046875,103.1875,19.6875,0.625
1685548188594386200,1.23738623046875,103.3125,19.625,0.75
1685548188614384600,1.257384521484375,103.375,19.625,0.5
1685548188634401800,1.27740185546875,103.375,19.5,0.5625
1685548188654384600,1.297384521484375,103.375,19.4375,0.6875
1685548188674384600,1.317384521484375,103.375,19.4375,0.875
1685548188694384600,1.337384521484375,103.3125,19.25,0.75
1685548188714384600,1.357384521484375,103.375,19.3125,0.875
1685548188734384600,1.377384521484375,103.4375,19.5625,1
1685548188754384600,1.397384521484375,103.375,19.625,1.125
1685548188774384600,1.417384521484375,103.375,19.75,0.75
1685548188794384600,1.437384521484375,103.5,19.6875,0.8125
1685548188814384600,1.457384521484375,103.375,19.5,0.8125
1685548188834384600,1.477384521484375,103.5625,19.375,0.9375
1685548188854384600,1.497384521484375,103.4375,19.25,1
1685548188874395600,1.517395751953125,103.4375,19.3125,1.1875
1685548188894384600,1.537384521484375,103.4375,19.3125,1.125
1685548188914384600,1.557384521484375,103.5,19.125,1.125
1685548188934384600,1.577384521484375,103.5625,19.125,1.125
1685548188954384600,1.597384521484375,103.3125,18.9375,1.3125
1685548188974384600,1.617384521484375,103.1875,19,1.3125
1685548188994384600,1.637384521484375,103.125,18.8125,1.25
1685548189014384600,1.657384521484375,103.125,18.6875,1.25
1685548189034384600,1.677384521484375,103.1875,18.5,1.1875
1685548189054384600,1.697384521484375,103.3125,18.5,1.25
1685548189074384600,1.717384521484375,103.375,18.4375,1.4375
1685548189094384600,1.737384521484375,103.375,18.5625,1.375
1685548189114384600,1.757384521484375,103.375,18.625,1.3125
1685548189134384600,1.777384521484375,103.5,18.6875,1.4375
1685548189154384600,1.797384521484375,103.5625,18.5,1.4375
1685548189174384600,1.817384521484375,103.5,18.75,1.5625
1685548189194384600,1.837384521484375,103.5,18.625,1.5625
1685548189214384600,1.857384521484375,103.5625,18.8125,1.5
1685548189234384600,1.877384521484375,103.5625,18.75,1.3125
1685548189254384600,1.897384521484375,103.4375,18.75,1.1875
1685548189274384600,1.917384521484375,103.4375,18.6875,1.1875
1685548189294384600,1.937384521484375,103.3125,18.5,1
1685548189314384600,1.957384521484375,103.25,18.5,1.1875
1685548189334401800,1.97740185546875,103.1875,18.5625,1.125
1685548189354384600,1.997384521484375,103.125,18.5,1
1685548189374384600,2.017384521484375,103.0625,18.4375,0.8125
1685548189394384600,2.037384521484375,103.0625,18.4375,0.875
1685548189414384600,2.057384521484375,103,18.4375,0.8125
1685548189434384600,2.077384521484375,103.125,18.375,0.875
1685548189454384600,2.097384521484375,102.9375,18.25,0.875
1685548189474384600,2.117384521484375,102.8125,18.4375,1.25
1685548189494384600,2.137384521484375,102.875,18.25,0.875
1685548189514384600,2.157384521484375,102.9375,18.3125,1
1685548189534384600,2.177384521484375,103.0625,18.25,1
1685548189554384600,2.197384521484375,103,18.375,1.1875
1685548189574384600,2.217384521484375,102.8125,18.1875,1.125
1685548189594384600,2.237384521484375,103,18.0625,1.375
