time,seconds_elapsed,z,y,x
1686353864605706800,1.796706787109375,-49.875,-16.5625,-12.5
1686353864625708300,1.816708251953125,-49.4375,-16.6875,-12.625
1686353864645706800,1.836706787109375,-49.3125,-16.625,-12.5625
1686353864665708300,1.856708251953125,-48.9375,-16.6875,-12.75
1686353864685708300,1.876708251953125,-49,-16.9375,-12.8125
1686353864705706800,1.896706787109375,-48.8125,-16.625,-13.0625
1686353864725706800,1.916706787109375,-49.1875,-16.625,-13.25
1686353864745706800,1.936706787109375,-49.1875,-16.75,-13.0625
1686353864765706800,1.956706787109375,-49.0625,-16.625,-13.1875
1686353864785706800,1.976706787109375,-49.625,-16.75,-13.125
1686353864805706800,1.996706787109375,-49.625,-16.875,-12.5625
1686353864825706800,2.016706787109375,-49.625,-16.8125,-12.625
1686353864845706800,2.036706787109375,-49.3125,-16.75,-12.75
1686353864865706800,2.056706787109375,-49.125,-17.125,-13
1686353864885708300,2.076708251953125,-49,-17.1875,-13.0625
1686353864905708300,2.096708251953125,-48.9375,-17,-13.375
1686353864925708300,2.116708251953125,-49,-17.4375,-13.375
1686353864945708300,2.136708251953125,-49.25,-17.1875,-13.625
1686353864965706800,2.156706787109375,-49.0625,-17.0625,-13.5625
1686353864985706800,2.176706787109375,-49.0625,-17.125,-13.5
1686353865005706800,2.196706787109375,-48.9375,-16.875,-13.5
1686353865025706800,2.216706787109375,-49,-16.8125,-13.3125
1686353865045706800,2.236706787109375,-49.25,-17,-13.375
1686353865065706800,2.256706787109375,-49.3125,-16.875,-13.3125
1686353865085706800,2.276706787109375,-49.375,-16.875,-13.1875
1686353865105706800,2.296706787109375,-49.5625,-17,-13.3125
1686353865125706800,2.316706787109375,-49.3125,-17,-13.5
1686353865145706800,2.336706787109375,-49.5,-17.1875,-13.1875
1686353865165708300,2.356708251953125,-49.5,-17.3125,-13
1686353865185708300,2.376708251953125,-49.5,-17.3125,-13.4375
1686353865205708300,2.396708251953125,-49.25,-17,-13.4375
1686353865225706800,2.416706787109375,-49.0625,-17.125,-13.4375
1686353865245706800,2.436706787109375,-48.75,-16.9375,-13.5625
1686353865265706800,2.456706787109375,-48.5625,-16.875,-13.5
1686353865285706800,2.476706787109375,-48.4375,-17.25,-13.5
1686353865305706800,2.496706787109375,-48.4375,-17.125,-13.5
1686353865325706800,2.516706787109375,-48.4375,-17.3125,-13.625
1686353865345706800,2.536706787109375,-49.0625,-16.875,-13.5625
1686353865365706800,2.556706787109375,-49.4375,-16.8125,-13.3125
